Wallet,First TX date,Total TXs,Total Data,Total NFTs,Total cost of TXs
q1bUHkN5wqpWKxvN2s-vWgDAPlKVaByQK4mqDBDAsfE,2021-3-26,2,31509503,2,0.018746243014999997
fcMxhaBLYpFEzS4eWqsazA27IVPh738Kh6d6VXSclcA,2021-4-25,15,1304943213,0,0.8328575359520001
h-Bgr13OWUOkRGWrnMT0LuUKfJhRss5pfTdxHmNcXyw,2020-11-7,28,98116415,16,0.060078623702999996
pQy9irwEZ-yX1_4D2D0PLqNMZLhe6NA-FCu5kiI565I,2021-4-22,3,3811551,3,0.002265196096
C-JrKDitt0w0ifGgyw2lYSBSs5atHSkK5nLFdiNHmXo,2020-11-25,1,600466,1,0.000357859132
fmTpIBFrCbAyUjV-f3VOq7Szs5RaMovb1Pf9MlUnjVk,2011-12-10,1,1605492,0,0.001049248152
OFD5dO06Wdurb4w5TTenzkw1PacATOP-6lAlfAuRZFk,2021-1-29,8,21669163,6,0.013077204278999999
-mseuK4Pi34C4g_GbnwUuiWmJ9tSU6qJW7eZpPt4oko,2021-3-3,3,288297,0,0.000179471223
x6B0nQQkqMjxb9SUITSopxTjCT0UuG6vViDFWUOellk,2020-1-26,9,449060365,4,0.28308820020299996
gyLhR4Mg8VlVSf3oLsjxvFumhc6vrN4T4OAc71yXQvs,2020-9-18,1,105246,0,0.000074054208
eamTbADrABJrjr_0dWOTqHU4tUYE7CSICltDZGcYc4o,2020-11-14,1,6415966,1,0.003928535712
NnjcuBwyXBaHBUSFBM7D1Ajwq46YYaBM_TdQJlXX_wM,2021-3-29,1,7151513,1,0.004464547152
VdXCJdKquMZuGK1W0Yi6zk-8HO-UC85vtMhWUOroY9g,2021-3-14,75,20660912,65,0.013226910950000005
-mr6L9ZvcZ0wy3xDUzoZKyUrC4hgEoYSsncf2vDdUBw,2021-3-22,2,1393355354,1,0.042943540848
2eKSbOQR2EiCJg36fOOUQxNR5KFmtgQp1gJG6AvqyeQ,2021-3-19,2,1129052135,1,0.002821603824
8bHHmA-RPhQ746dxdAOBW_MnfSeoyJTlXVwPt44mXRU,2021-3-27,2,6304,2,0.000007939776
_KO2KpSEhvFD_5Bexnggo8SHtDaWek5cOiphNxGcmEM,2021-3-28,1,10032,1,0.000008263008
Y3vucQ6Wq49J0p7GYw3wkYJ2qptFLNniBjiOCbl31po,2021-3-26,1,113905,1,0.00007307976
